X,Y,Z,SIGNAL_STRENGTH
1,102,-29,80
1,100,-29,88
1,97,-29,80
1,93,-28,80
1,90,-28,80
1,92,-29,80
1,87,-28,80
1,89,-29,80
1,85,-29,72
1,83,-28,72
1,84,-29,72
1,75,-27,72
1,76,-27,72
1,79,-29,72
1,77,-29,72
1,77,-29,72
1,76,-30,72
1,73,-29,80
1,71,-28,72
1,70,-29,72
1,68,-28,72
1,72,-30,72
1,70,-30,72
1,70,-30,72
1,66,-29,72
1,65,-29,80
1,66,-30,80
1,69,-32,72
1,65,-31,72
1,62,-30,80
1,63,-31,72
1,63,-31,80
1,63,-31,80
1,56,-28,72
1,60,-31,80
1,56,-29,80
1,57,-30,80
1,57,-31,80
1,57,-31,80
1,56,-31,80
1,53,-30,80
1,53,-30,80
1,52,-30,72
1,49,-29,80
1,52,-31,80
1,51,-30,80
1,49,-30,80
1,49,-30,80
1,48,-30,80
1,48,-30,80
1,50,-32,88
1,46,-30,80
1,46,-30,80
1,46,-30,80
1,47,-32,80
1,45,-31,80
1,45,-31,80
1,43,-30,80
1,43,-31,80
1,44,-31,80
0,39,-28,72
1,45,-33,80
1,45,-33,80
0,40,-30,80
0,40,-30,72
0,37,-29,72
0,40,-31,72
0,38,-30,80
0,41,-33,64
0,38,-31,72
1,43,-35,72
0,39,-32,72
0,36,-30,72
0,38,-32,72
0,40,-35,72
0,34,-30,72
0,36,-32,64
0,33,-29,72
0,28,-25,72
0,27,-25,72
0,35,-33,64
0,37,-34,72
0,38,-36,72
0,28,-27,80
0,39,-38,72
0,28,-27,72
0,31,-31,72
-1,-34,-34,80
-1,-37,-36,80
-1,-34,-33,72
-1,-32,-31,72
-1,-36,-34,80
-1,-36,-33,80
-1,-37,-35,80
-1,-38,-34,72
-1,-38,-34,80
-1,-40,-36,80
-1,-38,-34,80
-1,-40,-35,80
-1,-39,-34,80
-1,-38,-32,80
-1,-39,-33,80
-1,-40,-33,80
-1,-39,-32,80
-1,-41,-33,80
-1,-43,-34,80
-1,-44,-35,80
-1,-43,-33,88
-1,-43,-33,80
-1,-44,-34,80
-1,-45,-34,80
-1,-46,-34,80
-1,-45,-33,80
-1,-47,-34,80
-1,-50,-36,80
-1,-47,-34,80
-1,-51,-36,80
-1,-46,-32,80
-1,-48,-33,80
-1,-53,-36,80
-1,-52,-35,80
-1,-51,-34,80
-1,-54,-35,80
-1,-59,-38,80
-1,-57,-36,80
-1,-62,-39,80
-1,-59,-36,80
-1,-58,-35,72
-1,-60,-36,80
-1,-59,-35,80
-1,-60,-35,72
-1,-61,-35,80
-1,-59,-34,72
-1,-60,-34,80
-1,-62,-34,80
-1,-64,-35,72
