X,Y,Z,SIGNAL_STRENGTH
-5,-92,-35,191
-6,-98,-36,183
-6,-103,-37,183
-6,-104,-36,183
-6,-106,-36,191
-7,-111,-36,191
-7,-114,-36,199
-7,-119,-37,199
-7,-123,-37,191
-8,-130,-38,191
-8,-132,-37,199
-8,-137,-37,191
-8,-144,-37,191
-9,-150,-38,191
-9,-159,-38,183
-10,-168,-39,199
-11,-180,-40,191
-11,-194,-41,191
-12,-205,-42,191
-12,-203,-39,199
-12,-205,-38,199
-12,-204,-36,191
-12,-206,-34,191
-12,-204,-32,191
-12,-205,-31,199
-12,-206,-29,199
-12,-206,-27,191
-12,-206,-26,199
-12,-206,-24,199
-12,-204,-22,199
-12,-205,-21,199
-12,-205,-19,199
-12,-206,-18,199
-12,-207,-16,199
-12,-205,-14,199
-12,-207,-13,199
-12,-206,-11,199
-12,-205,-10,199
-12,-205,-8,199
